id,name,url,license,attribution,kind,redistributable,redistributableBenchmarkIds,protocols
aa-speed-manual,Artificial Analysis speed observations (manual isolation),https://artificialanalysis.ai/,Non-redistributable; use may conflict with Artificial Analysis Data Platform Terms,,manual,false,[],[]
andonlabs,Andon Labs,https://andonlabs.com/evals/vending-bench-2,No explicit dataset redistribution license identified,Andon Labs,runner,false,[],[]
automationbench,Zapier AutomationBench,https://github.com/zapier/AutomationBench,See upstream license,,runner,false,[],[]
benchcad,BenchCAD,https://benchcad.com/,MIT code; CC-BY-4.0 dataset,,runner,false,[],[]
datacurve,Datacurve DeepSWE,https://deepswe.datacurve.ai/,See upstream terms,,runner,false,[],[]
epoch,Epoch AI benchmark hub,https://epoch.ai/data/eci_benchmarks.csv,CC-BY-4.0 (dataset; verify per linked benchmark),Epoch AI,mirror,true,"[""frontiermath-v2-tier-4"",""frontiermath-v2-tiers-1-3""]",[]
kaggle,Kaggle benchmark result datasets,https://www.kaggle.com/datasets,Dataset-specific; verify before export,,mirror,false,[],[]
livebench,LiveBench,https://livebench.ai/,See upstream terms,,runner,false,[],[]
livecodebench,LiveCodeBench,https://livecodebench.github.io/,See upstream terms,,runner,false,[],[]
lmarena,LMArena leaderboard dataset,https://huggingface.co/datasets/lmarena-ai/leaderboard-dataset,CC-BY-4.0,LMSYS Org / LMArena,runner,true,"[""lmarena-text-style-controlled""]",[]
matharena,MathArena,https://matharena.ai/,See upstream dataset or competition terms,,runner,false,[],[]
mcpmark,MCPMark leaderboard,https://mcpmark.ai/leaderboard,See upstream terms,,scrape,false,[],"[{""harness_id"":""mcpmark-1.2.0"",""provenance"":""independent"",""valid_from"":""2025-09-20"",""protocol_id"":""mcpmark-1.2.0-leaderboard"",""tool_policy"":""mcp-tools"",""benchmark_ids"":[""mcpmark""],""harness_class"":""common"",""grader_versions"":{""mcpmark"":""v1.2.0 verify.py task graders""},""methodology_url"":""https://github.com/eval-sys/mcpmark/releases/tag/v1.2.0"",""effort_tier_rule"":""highest_exposed"",""benchmark_versions"":{""mcpmark"":""1.2.0""}}]"
metr,METR public benchmark results,https://metr.org/time-horizons/,See METR dataset terms,METR,runner,false,[],"[{""harness_id"":""metr-time-horizon-1.1"",""provenance"":""independent"",""valid_from"":""2026-01-29"",""protocol_id"":""metr-time-horizon-1.1"",""tool_policy"":""coding-agent-tools"",""benchmark_ids"":[""metr-time-horizon-1.1""],""harness_class"":""common"",""grader_versions"":{""metr-time-horizon-1.1"":""METR Time Horizon 1.1 Inspect evaluation and public analysis pipeline""},""methodology_url"":""https://metr.org/time-horizons/"",""effort_tier_rule"":""provider_default"",""benchmark_versions"":{""metr-time-horizon-1.1"":""1.1""}}]"
openai-evals,OpenAI evaluations,https://openai.com/index/gdpval/,See upstream publication terms,,runner,false,[],[]
openrouter,OpenRouter public models API,https://openrouter.ai/docs/api/api-reference/models/get-models,OpenRouter API terms,,runner,false,[],[]
terminal-bench-science,Terminal-Bench Science,https://www.terminal-bench-science.ai/announcement,Apache-2.0 benchmark; source terms apply to leaderboard,,runner,false,[],[]
aa-benchmarks-manual,Artificial Analysis benchmark observations (manual isolation),https://artificialanalysis.ai/evaluations/critpt,Non-redistributable Artificial Analysis observations,,manual,false,[],[]
aa-cost-manual,Artificial Analysis cost per task (manual isolation),https://artificialanalysis.ai/leaderboards/models/,Non-redistributable Artificial Analysis observations,,manual,false,[],[]
arcprize,ARC Prize leaderboard,https://arcprize.org/leaderboard,See upstream terms,,scrape,false,[],"[{""harness_id"":""arc-prize-standard"",""provenance"":""independent"",""valid_from"":""2025-03-24"",""protocol_id"":""arcprize-arc2-standard-2025"",""tool_policy"":""arc-grid-pass-at-2"",""config_match"":{""data_subset"":""v2_Semi_Private"",""provider_adapter"":false},""benchmark_ids"":[""arc-agi-2-semi-private""],""harness_class"":""common"",""grader_versions"":{""arc-agi-2-semi-private"":""ARC-AGI-2 pass@2 semi-private evaluation""},""methodology_url"":""https://arcprize.org/arc-agi/2"",""effort_tier_rule"":""provider_default"",""benchmark_versions"":{""arc-agi-2-semi-private"":""semi-private-120""}},{""harness_id"":""arc-prize-provider-adapter"",""provenance"":""independent"",""valid_from"":""2025-03-24"",""protocol_id"":""arcprize-arc2-provider-adapter-2025"",""tool_policy"":""arc-grid-pass-at-2"",""config_match"":{""data_subset"":""v2_Semi_Private"",""provider_adapter"":true},""benchmark_ids"":[""arc-agi-2-semi-private""],""harness_class"":""native"",""grader_versions"":{""arc-agi-2-semi-private"":""ARC-AGI-2 pass@2 semi-private evaluation""},""methodology_url"":""https://arcprize.org/arc-agi/2"",""effort_tier_rule"":""provider_default"",""benchmark_versions"":{""arc-agi-2-semi-private"":""semi-private-120""}}]"
critpt,CritPt benchmark authors,https://github.com/CritPt-Benchmark/CritPt/tree/17c2545c302762d2f2d644d923ea4c301605cb08,No explicit repository license; factual metadata attribution only,,runner,false,[],[]
osworld,OSWorld official leaderboard,https://osworld-v2.xlang.ai/,See upstream terms,,runner,false,[],[]
scale,Scale Labs leaderboards,https://labs.scale.com/leaderboard/humanitys_last_exam,See upstream terms,,scrape,false,[],"[{""harness_id"":""scale-hle-leaderboard"",""provenance"":""independent"",""valid_from"":""2025-01-23"",""protocol_id"":""scale-hle-leaderboard-2025"",""tool_policy"":""none"",""benchmark_ids"":[""hle-no-tools""],""harness_class"":""common"",""grader_versions"":{},""methodology_url"":""https://labs.scale.com/leaderboard/humanitys_last_exam"",""effort_tier_rule"":""provider_default"",""benchmark_versions"":{}},{""harness_id"":""scale-swe-pro-public"",""provenance"":""independent"",""valid_from"":""2025-09-25"",""protocol_id"":""scale-swe-pro-public-2025"",""tool_policy"":""repository-tools"",""benchmark_ids"":[""swe-bench-pro-public""],""harness_class"":""unknown"",""grader_versions"":{""swe-bench-pro-public"":""scaleapi/SWE-bench_Pro-os@190335a486d5cfd7c05379287a5c146901544f8e""},""methodology_url"":""https://labs.scale.com/leaderboard/swe_bench_pro_public"",""effort_tier_rule"":""provider_default"",""benchmark_versions"":{""swe-bench-pro-public"":""public-731""}}]"
snorkel,Snorkel Terminal-Bench mirror,https://snorkel.ai/,See upstream terms,,mirror,false,[],[]
swe-rebench,Nebius SWE-rebench leaderboard,https://swe-rebench.com/leaderboard,CC-BY-4.0,Nebius AI,runner,true,"[""swe-rebench""]",[]
taubench,tau-bench leaderboard,https://taubench.com/,See upstream terms,,self_report,false,[],[]
vendor-model-cards,Vendor model cards,https://huggingface.co/docs/hub/model-cards,Source-specific; factual score citations only,,self_report,false,[],[]
tbench,Terminal-Bench official leaderboard,https://www.tbench.ai/leaderboard,Upstream site terms; benchmark harness is Apache-2.0,,scrape,false,[],"[{""provenance"":""independent"",""valid_from"":""2026-08-26"",""protocol_id"":""terminal-bench-4.0-leaderboard"",""tool_policy"":""terminal-shell"",""benchmark_ids"":[""terminal-bench-4.0""],""harness_class"":""native"",""grader_versions"":{""terminal-bench-4.0"":""terminal-bench/terminal-bench@4.0.0""},""methodology_url"":""https://www.tbench.ai/news/terminal-bench-4-0"",""effort_tier_rule"":""highest_exposed"",""benchmark_versions"":{""terminal-bench-4.0"":""4.0.0""}}]"
